id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,game_id,spread,provider_used
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,False,True,True,True,,3504.0,Aviva Stadium,77,Northwestern,fbs,Big Ten,31,"[3, 14, 7, 7]",0.5475434597351944,1361.0,1381.0,158,Nebraska,fbs,Big Ten,28,"[7, 7, 14, 0]",0.45245654026480564,1636.0,1616.0,8.3493556676,,,401405059,12.5,consensus
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,37832.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,38,"[7, 10, 7, 14]",0.9974722912053572,1496.0,1584.0,2751,Wyoming,fbs,Mountain West,6,"[3, 0, 3, 0]",0.0025277087946428134,1497.0,1409.0,2.571416914,,,401405058,-14.0,consensus
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,19553.0,3905.0,Maverik Stadium,328,Utah State,fbs,Mountain West,31,"[0, 24, 0, 7]",0.9891655857079721,1566.0,1555.0,41,UConn,fbs,FBS Independents,20,"[14, 0, 0, 6]",0.010834414292027916,1117.0,1128.0,4.5637067523,,,401404146,-24.0,consensus
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,True,19571.0,3715.0,FAU Stadium,2226,Florida Atlantic,fbs,Conference USA,43,"[10, 16, 7, 10]",0.9988415542177018,1427.0,1488.0,2429,Charlotte,fbs,Conference USA,13,"[7, 0, 6, 0]",0.0011584457822981786,1272.0,1211.0,6.6262524505,,,401426530,-7.0,Bovada
401426531,2022,1,regular,2022-08-28T01:00:00.000Z,False,True,False,True,45971.0,3946.0,Sun Bowl,2638,UTEP,fbs,Conference USA,13,"[0, 13, 0, 0]",0.004746335356215618,1360.0,1323.0,249,North Texas,fbs,Conference USA,31,"[0, 14, 14, 3]",0.9952536646437844,1426.0,1463.0,4.1152955946,,,401426531,1.5,consensus
401409235,2022,1,regular,2022-08-28T02:00:00.000Z,False,True,False,False,,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,FBS Independents,12,"[0, 2, 7, 3]",0.13436970618775704,1184.0,1192.0,2440,Nevada,fbs,Mountain West,23,"[0, 17, 0, 6]",0.865630293812243,1564.0,1556.0,3.8315877915,,,401409235,7.0,consensus
401403853,2022,1,regular,2022-08-28T02:30:00.000Z,False,True,False,False,9346.0,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,10,"[7, 3, 0, 0]",0.0003589600988952661,1432.0,1223.0,238,Vanderbilt,fbs,SEC,63,"[14, 7, 35, 7]",0.9996410399011048,1222.0,1431.0,2.4199370723,,,401403853,9.0,consensus
401411092,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,70622.0,3752.0,Acrisure Stadium,221,Pittsburgh,fbs,ACC,38,"[3, 7, 14, 14]",0.9865973304508046,1667.0,1667.0,277,West Virginia,fbs,Big 12,31,"[0, 10, 7, 14]",0.013402669549195445,1490.0,1490.0,9.9132290774,,,401411092,-7.5,consensus
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853.0,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948007,1640.0,1756.0,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993443,1410.0,1294.0,1.1199358518,,,401403864,-35.5,consensus
401416569,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,53808.0,3646.0,Boone Pickens Stadium,197,Oklahoma State,fbs,Big 12,58,"[16, 28, 7, 7]",0.6006092661124897,1775.0,1783.0,2117,Central Michigan,fbs,Mid-American,44,"[7, 8, 7, 22]",0.39939073388751034,1536.0,1528.0,2.0476622516,,,401416569,-20.5,consensus
