id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,game_id,spread,provider_used
401525434,2023,1,regular,2023-08-26T18:30:00.000Z,False,True,True,False,49000.0,3504.0,Aviva Stadium,87,Notre Dame,fbs,FBS Independents,42.0,"[14, 14, 7, 7]",0.998958343504533,1733.0,1819.0,2426,Navy,fbs,American Athletic,3.0,"[0, 0, 0, 3]",0.0010416564954669472,1471.0,1385.0,1.3469076611,,,401525434,-20.0,consensus
401520145,2023,1,regular,2023-08-26T21:30:00.000Z,False,True,False,True,17982.0,3662.0,AmFirst Stadium,55,Jacksonville State,fbs,Conference USA,17.0,"[3, 7, 7, 0]",0.40800060036319785,1500.0,1499.0,2638,UTEP,fbs,Conference USA,14.0,"[0, 7, 0, 7]",0.5919993996368021,1369.0,1370.0,6.8213333937,,,401520145,1.0,Bovada
401532392,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,23867.0,7311.0,Snapdragon Stadium,21,San Diego State,fbs,Mountain West,20.0,"[3, 7, 0, 10]",0.9544687299546838,1488.0,1497.0,195,Ohio,fbs,Mid-American,13.0,"[3, 3, 0, 7]",0.04553127004531621,1482.0,1473.0,6.5473781337,,,401532392,-3.5,consensus
401525450,2023,1,regular,2023-08-26T23:00:00.000Z,False,True,False,False,15356.0,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,30.0,"[0, 10, 0, 20]",0.23924886339745693,1322.0,1274.0,113,Massachusetts,fbs,FBS Independents,41.0,"[7, 3, 3, 28]",0.760751136602543,1074.0,1122.0,5.311493375,,,401525450,-8.0,consensus
401520147,2023,1,regular,2023-08-26T23:30:00.000Z,False,True,False,False,21407.0,3973.0,FirstBank Stadium,238,Vanderbilt,fbs,SEC,35.0,"[14, 7, 7, 7]",0.18084618805030608,1322.0,1327.0,62,Hawai'i,fbs,Mountain West,28.0,"[7, 7, 0, 14]",0.8191538119496939,1246.0,1241.0,5.2820326034,,,401520147,-18.0,Bovada
401523986,2023,1,regular,2023-08-27T00:00:00.000Z,False,True,False,False,63411.0,477.0,Los Angeles Memorial Coliseum,30,USC,fbs,Pac-12,56.0,"[7, 14, 21, 14]",0.9982308679413001,1663.0,1713.0,23,San José State,fbs,Mountain West,28.0,"[0, 14, 7, 7]",0.0017691320586998849,1462.0,1412.0,1.6987296464,,,401523986,-30.5,consensus
401520146,2023,1,regular,2023-08-27T01:00:00.000Z,False,True,False,True,16299.0,3776.0,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,22.0,"[0, 13, 0, 9]",0.9857287782801066,1251.0,1249.0,2229,Florida International,fbs,Conference USA,17.0,"[14, 3, 0, 0]",0.014271221719893368,1072.0,1074.0,8.9977661071,,,401520146,-10.0,consensus
401525816,2023,1,regular,2023-08-31T23:00:00.000Z,False,True,False,False,44088.0,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,Big 12,56.0,"[14, 14, 14, 14]",0.9989059988666029,1534.0,1668.0,2309,Kent State,fbs,Mid-American,6.0,"[3, 0, 3, 0]",0.0010940011333970823,1396.0,1262.0,1.3468100629,,,401525816,-33.5,consensus
401520174,2023,1,regular,2023-08-31T23:30:00.000Z,False,True,False,False,36526.0,3892.0,Pratt & Whitney Stadium,41,UConn,fbs,FBS Independents,14.0,"[7, 0, 7, 0]",0.020721389946961155,1260.0,1264.0,152,NC State,fbs,ACC,24.0,"[7, 3, 14, 0]",0.9792786100530388,1557.0,1553.0,3.6726577056,,,401520174,16.5,consensus
401520176,2023,1,regular,2023-09-01T00:00:00.000Z,False,True,False,False,53644.0,587.0,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,24.0,"[7, 10, 7, 0]",0.9381725457920445,1776.0,1784.0,57,Florida,fbs,SEC,11.0,"[3, 0, 0, 8]",0.061827454207955546,1554.0,1546.0,2.9381887071,,,401520176,-8.0,consensus
401520148,2023,1,regular,2023-09-01T00:00:00.000Z,False,True,False,True,53629.0,3953.0,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,13.0,"[0, 3, 0, 10]",0.047056199428105606,1672.0,1671.0,158,Nebraska,fbs,Big Ten,10.0,"[0, 0, 7, 3]",0.9529438005718944,1521.0,1522.0,7.656757772,,,401520148,-7.0,consensus
401520163,2023,1,regular,2023-09-01T23:00:00.000Z,False,True,False,False,,3936.0,Spartan Stadium,127,Michigan State,fbs,Big Ten,31.0,"[0, 10, 7, 14]",0.9898329760584107,1533.0,1575.0,2117,Central Michigan,fbs,Mid-American,7.0,"[0, 7, 0, 0]",0.010167023941589304,1370.0,1328.0,6.660547719,,,401520163,-15.0,consensus
401525463,2023,1,regular,2023-09-01T23:00:00.000Z,False,True,False,False,49024.0,3948.0,Hard Rock Stadium,2390,Miami,fbs,ACC,38.0,"[10, 6, 8, 14]",0.998936250688961,1377.0,1481.0,193,Miami (OH),fbs,Mid-American,3.0,"[0, 3, 0, 0]",0.0010637493110390306,1420.0,1316.0,3.4198776736,,,401525463,-16.5,Bovada
401525462,2023,1,regular,2023-09-01T23:30:00.000Z,False,True,True,True,,5348.0,Mercedes-Benz Stadium,59,Georgia Tech,fbs,ACC,34.0,"[0, 28, 0, 6]",0.3374647435132891,1348.0,1362.0,97,Louisville,fbs,ACC,39.0,"[6, 7, 10, 16]",0.6625352564867109,1668.0,1654.0,7.4210820721,,Aflac Kickoff,401525462,8.0,consensus
401523988,2023,1,regular,2023-09-02T03:00:00.000Z,False,True,False,False,13739.0,7220.0,Clarence T.C. Ching Athletics Complex,62,Hawai'i,fbs,Mountain West,24.0,"[0, 10, 0, 14]",0.010950634801477689,1241.0,1220.0,24,Stanford,fbs,Pac-12,37.0,"[7, 14, 6, 10]",0.9890493651985223,1324.0,1345.0,4.2492062559,,,401523988,2.5,Bovada
401520170,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,54898.0,3907.0,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,35.0,"[7, 14, 7, 7]",0.1256113617044068,1473.0,1479.0,278,Fresno State,fbs,Mountain West,39.0,"[7, 10, 8, 14]",0.8743886382955932,1677.0,1671.0,6.8963093762,,,401520170,-5.5,consensus
401520159,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,58286.0,3683.0,Kroger Field,96,Kentucky,fbs,SEC,44.0,"[3, 20, 14, 7]",0.47031846522574716,1570.0,1625.0,2050,Ball State,fbs,Mid-American,14.0,"[7, 0, 7, 0]",0.5296815347742528,1360.0,1305.0,4.0918670405,,,401520159,-25.5,Bovada
401525822,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,83221.0,3835.0,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,Big 12,73.0,"[28, 17, 21, 7]",0.9989663891869078,1608.0,1793.0,2032,Arkansas State,fbs,Sun Belt,0.0,"[0, 0, 0, 0]",0.0010336108130921673,1256.0,1071.0,1.9630168502,,,401525822,-36.5,Bovada
401520160,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,18811.0,3992.0,Williams Stadium (VA),2335,Liberty,fbs,Conference USA,34.0,"[7, 17, 7, 3]",0.8819144263903264,1442.0,1446.0,189,Bowling Green,fbs,Mid-American,24.0,"[0, 14, 10, 0]",0.11808557360967364,1250.0,1246.0,6.60406962,,,401520160,-7.0,Bovada
401525464,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,30122.0,3615.0,"Alumni Stadium (Chestnut Hill, MA)",103,Boston College,fbs,ACC,24.0,"[0, 0, 7, 14, 3]",0.026005599963105384,1314.0,1309.0,2459,Northern Illinois,fbs,Mid-American,27.0,"[0, 7, 7, 7, 6]",0.9739944000368946,1304.0,1309.0,7.6619910082,,,401525464,-10.0,consensus
401523994,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,53294.0,3616.0,Amon G. Carter Stadium,2628,TCU,fbs,Big 12,42.0,"[0, 14, 14, 14]",0.11594154626006306,1652.0,1613.0,38,Colorado,fbs,Pac-12,45.0,"[7, 10, 14, 14]",0.884058453739937,1157.0,1196.0,9.2614554314,,,401523994,-20.0,consensus
401520179,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,True,False,69507.0,3810.0,Nissan Stadium,2633,Tennessee,fbs,SEC,49.0,"[7, 14, 14, 14]",0.9989216060109893,1833.0,1887.0,258,Virginia,fbs,ACC,13.0,"[0, 3, 7, 3]",0.001078393989010662,1393.0,1339.0,1.4530125893,,,401520179,-28.0,consensus
401520172,2023,1,regular,2023-09-02T16:00:00.000Z,False,True,False,False,21490.0,3735.0,Gerald J. Ford Stadium,2567,SMU,fbs,American Athletic,38.0,"[14, 17, 0, 7]",0.9968771683602937,1502.0,1535.0,2348,Louisiana Tech,fbs,Conference USA,14.0,"[0, 0, 7, 7]",0.0031228316397062805,1249.0,1216.0,3.2616519574,,,401520172,-21.0,Bovada
